timestamp,success,latency,code,size,fill,annotation
1487015964,0,1.691634ms,503,107,,
1487015965,0,1.596863ms,503,107,,
1487015966,0,1.446247ms,503,107,,
1487015967,0,1.47717ms,503,107,,
1487015968,0,1.459168ms,503,107,,
1487015969,0,1.429406ms,503,107,,
1487015970,0,1.553775ms,503,107,,
1487015971,0,1.683959ms,503,107,,
1487015972,0,1.487629ms,503,107,,
1487015973,0,1.669936ms,503,107,,
1487015974,0,1.476185ms,503,107,,
1487015975,0,8.340781ms,503,107,,
1487015976,0,1.630933ms,503,107,,
1487015977,0,1.421136ms,503,107,,
1487015978,0,1.735339ms,503,107,,
1487015979,0,1.689936ms,503,107,,
1487015980,0,1.636049ms,503,107,,
1487015981,0,1.582857ms,503,107,,
1487015982,0,1.433198ms,503,107,,
1487015983,0,1.47995ms,503,107,,
1487015984,0,1.522241ms,503,107,,
1487015985,0,1.584686ms,503,107,,
1487015986,0,1.549323ms,503,107,,
1487015987,0,1.611519ms,503,107,,
1487015988,0,1.421911ms,503,107,,
1487015989,0,1.667317ms,503,107,,
1487015990,0,1.751163ms,503,107,,
1487015991,0,1.527273ms,503,107,,
1487015992,0,1.537911ms,503,107,,
1487015993,0,1.865992ms,503,107,,
1487015994,0,2.203579ms,503,107,,
1487015995,0,1.637506ms,503,107,,
1487015996,0,3.420601ms,503,107,,
1487015997,0,1.590368ms,503,107,,
1487015998,0,2.100479ms,503,107,,
1487015999,0,1.738967ms,503,107,,
1487016000,0,1.427664ms,503,107,,
1487016001,0,1.404819ms,503,107,,
1487016002,0,1.385076ms,503,107,,
1487016003,0,1.579997ms,503,107,,
1487016004,0,1.57766ms,503,107,,
1487016005,0,1.502374ms,503,107,,
1487016006,0,1.832077ms,503,107,,
1487016007,0,1.61079ms,503,107,,
1487016008,0,1.567378ms,503,107,,
1487016009,0,1.535387ms,503,107,,
1487016010,0,1.595868ms,503,107,,
1487016011,0,1.55093ms,503,107,,
1487016012,0,1.568507ms,503,107,,
1487016013,0,1.629977ms,503,107,,
1487016014,0,1.71866ms,503,107,,
1487016015,0,1.879227ms,503,107,,
1487016016,0,1.601016ms,503,107,,
1487016017,0,1.552731ms,503,107,,
1487016018,0,1.567981ms,503,107,,
1487015929,0,1m30.00291279s,503,107,,
1487016019,0,1.67255ms,503,107,,
1487016020,0,1.631073ms,503,107,,
